Date,Open,High,Low,Close,Volume
2016-09-28,229.89,230.76,227.65,229.65,3154
2016-09-29,233.42,233.42,229.55,230.52,1554
2016-09-30,225.29,231.67,223.88,230.71,2589
2016-10-04,230.03,234.35,230.03,233.52,2371
2016-10-05,232.55,233.18,229.84,232.4,4032
2016-10-06,229.55,231.43,228.53,229.26,1339
2016-10-07,229.65,230.37,227.85,229.65,1459
2016-10-10,232.94,234.49,231.67,233.08,5407
2016-10-11,233.52,234.59,232.84,233.42,3268
2016-10-12,234.01,234.54,232.16,232.16,1870
2016-10-13,232.55,234.98,231.77,233.91,1758
2016-10-14,234.49,237.2,234.49,236.52,1906
2016-10-17,237.39,237.39,235.74,236.33,1991
2016-10-18,236.42,239.81,234.59,238.22,5231
2016-10-19,238.37,238.51,234.3,234.3,1972
2016-10-20,234.44,234.49,231.97,233.23,2985
2016-10-21,231.87,232.79,225.09,225.96,4767
2016-10-24,225.92,228.38,225.72,227.36,2839
2016-10-25,227.7,227.7,222.71,223.73,2718
2016-10-26,225.19,225.19,220.63,223.44,4239
2016-10-27,224.99,225.24,221.36,221.36,3114
2016-10-28,218.35,222.08,218.35,220.83,3857
2016-10-31,219.27,219.66,216.32,219.66,4217
2016-11-01,221.02,221.02,217.49,218.21,16183
2016-11-02,218.98,219.42,215.3,217.29,3656
2016-11-03,217.54,217.58,215.01,215.01,2540
2016-11-04,214.14,214.96,211.86,211.86,6527
2016-11-07,204.45,211.23,204.45,209.34,6584
2016-11-08,209.34,211.18,209.34,209.73,1923
2016-11-09,199.12,211.62,198.88,210.31,4216
2016-11-10,212.69,218.98,211.48,216.95,6403
2016-11-11,218.01,220.78,215.84,220.34,3497
2016-11-14,222.52,228.43,221.51,227.7,6484
2016-11-15,228.67,228.67,226.78,228.67,3630
2016-11-16,227.99,230.03,227.61,230.03,3265
2016-11-17,232.4,237.25,231.67,236.38,5941
2016-11-18,235.84,236.42,229.16,229.6,6959
2016-11-21,227.95,235.45,227.95,232.5,3988
2016-11-22,232.06,236.38,231,234.2,3497
2016-11-23,234.2,235.21,232.94,232.94,1667
2016-11-24,232.94,233.71,230.62,230.62,2384
2016-11-25,232.74,232.74,229.55,230.33,2672
2016-11-28,230.57,230.57,226.63,226.73,1859
2016-11-29,226.68,230.71,226.63,229.4,3340
2016-11-30,227.7,229.16,223.25,224.85,5274
2016-12-01,224.41,225.67,223.34,224.95,3226
2016-12-02,223.34,228.67,223.34,226.39,2767
2016-12-05,226.68,228.97,225.33,226.73,1985
2016-12-06,225.62,226.73,224.9,226.49,3910
2016-12-07,228.29,228.29,226.49,226.73,2695
2016-12-08,226.88,231.19,226.83,228.67,2679
2016-12-09,218.01,229.21,215.25,227.36,5418
2016-12-12,226.73,230.57,226.73,227.85,2378
2016-12-13,231.58,237.25,230.52,233.52,10172
2016-12-14,232.4,237.39,232.4,235.79,5959
2016-12-15,237.39,237.39,234.3,235.55,3136
2016-12-16,235.7,238.03,235.7,237.69,3732
2016-12-19,237.15,237.98,236.33,237.69,2145
2016-12-20,238.07,240.2,235.99,239.34,5049
2016-12-21,239.96,240.25,238.27,238.95,2141
2016-12-22,238.37,241.27,235.7,238.61,3388
2016-12-23,238.61,241.27,237.39,237.39,4573
2016-12-27,237.39,239.62,237.39,238.07,903
2016-12-28,237.39,241.08,237.39,240.93,3420
2016-12-29,240.3,241.27,240.3,240.49,2912
2016-12-30,240.3,241.95,240.3,241.9,3275
2017-01-02,241.75,242.24,239.96,241.85,1553
2017-01-03,241.95,244.17,241.12,244.17,4333
2017-01-04,243.94,245.05,238.22,240.3,5152
2017-01-05,240.3,240.3,235.65,237.39,3025
2017-01-06,235.74,237.39,235.74,237.39,1551
2017-01-09,236.52,237.35,234.98,236.47,1823
2017-01-10,235.17,237.2,233.52,237.2,2642
2017-01-11,237.39,237.64,236.04,237.64,2601
2017-01-12,235.45,236.91,234.39,235.94,1373
2017-01-13,236.96,247.47,236.96,247.28,5827
2017-01-16,247.18,254.98,246.89,251.93,9930
2017-01-17,250.62,258.52,250.09,254.74,6947
2017-01-18,253.86,254.45,249.6,254.35,5515
2017-01-19,253.86,257.35,252.99,257.35,5462
2017-01-20,257.02,258.22,255.37,257.4,4268
2017-01-23,263.56,275.76,261.71,271.55,19003
2017-01-24,274.99,274.99,272.28,273.78,7710
2017-01-25,273.78,276.15,272.33,275.67,10575
2017-01-26,275.67,276.05,271.84,272.28,6990
2017-01-27,271.74,275.18,271.74,274.51,8654
2017-01-30,274.22,280.03,274.22,277.41,8362
2017-01-31,277.17,278.58,272.76,272.76,6947
2017-02-01,273.49,280.07,272.33,276.93,5826
2017-02-02,275.86,278.43,274.89,278.43,3327
2017-02-03,277.95,278.58,273.83,275.62,4062
2017-02-06,278.53,278.58,271.4,271.45,3775
2017-02-07,271.4,273.15,269.18,270.82,2745
2017-02-08,270.3,270.3,265.97,266.17,5161
2017-02-09,264.62,276.1,264.62,272.28,8221
2017-02-10,273.25,293.2,272.03,289.23,16560
2017-02-13,290.2,299.12,288.75,294.56,18154
2017-02-14,295.63,301.78,292.38,300.38,9643
2017-02-15,300.38,300.62,293.98,295.63,5107
2017-02-16,296.12,297.42,288.6,290.3,6050
2017-02-17,289.72,290.59,286.33,290.45,4198
2017-02-20,289.52,290.69,285.94,286.81,2999
2017-02-21,285.94,289.72,285.94,289.72,4959
2017-02-22,287.54,293.45,284.87,287.88,3155
2017-02-23,287.59,288.36,284.97,287.49,3385
2017-02-24,287.88,287.88,281.29,284.05,2409
2017-02-27,286.77,286.77,279.98,284.87,5612
2017-02-28,285.99,285.99,281.48,284.58,3665
2017-03-01,285.07,285.84,281,285.02,6704
2017-03-02,284.48,289.04,284.24,287.2,3736
2017-03-03,287.69,287.74,281.48,283.28,3750
2017-03-06,282.45,285.07,280.8,283.33,1488
2017-03-07,281.53,284.77,280.75,281.82,2780
2017-03-08,282.45,289.28,282.45,283.9,6157
2017-03-09,284.05,284.19,281.53,283.9,3995
2017-03-10,282.94,284.43,281.05,282.84,2667
2017-03-13,280.03,282.94,277.8,281.87,5655
2017-03-14,281.34,283.56,279.93,281.19,4109
2017-03-15,280.9,281.82,279.11,279.11,3553
2017-03-16,280.51,284.53,275.37,283.61,5599
2017-03-17,283.18,286.62,281.82,286.43,7343
2017-03-20,285.84,290.74,284,287.54,4806
2017-03-21,286.47,291.66,286.47,289.18,4570
2017-03-22,287.59,288.16,281.97,285.79,2656
2017-03-23,285.36,289.72,285.36,288.36,2477
2017-03-24,287.15,288.6,283.28,286.81,6631
2017-03-27,285.84,287.4,283.9,286.67,3958
2017-03-28,287.01,288.55,285.84,287.69,3874
2017-03-29,288.21,288.46,284.48,285.21,3542
2017-03-30,285.94,287.15,284.09,285.6,2379
2017-03-31,284.68,284.68,280.32,283.52,3085
2017-04-03,282.45,284.92,280.75,281.58,4720
2017-04-04,281,285.07,280.8,284.09,4902
